Computation Time (s),Average Daily Temperature Variation (°C),Average Daily Energy Consumption (kWh),Average Daily Reward
3.89225697517395,0.9127463102340698,308272.421836853,[-2.0933468]
3.9281978607177734,0.8071915705998739,307935.3713989258,[-1.9150468]
3.9331090450286865,0.7603131002850003,307265.0098800659,[-1.7612756]
4.065069675445557,0.6148113012313843,311415.5626296997,[-1.5115399]
3.8918709754943848,0.6004659202363756,314765.3226852417,[-1.4828018]
3.9166111946105957,0.6566767427656386,313535.701751709,[-1.5994272]
3.910339832305908,0.7870375712712606,306855.71670532227,[-1.8571535]
4.9461870193481445,0.6777530908584595,313757.887840271,[-1.6466011]
4.106903076171875,0.6617723968293932,309255.23376464844,[-1.5918169]
4.382851839065552,0.8548645178476969,303870.94593048096,[-1.9888911]
4.830473899841309,0.7098439004686143,311098.81019592285,[-1.7103378]
4.084486961364746,0.7243027687072754,313099.5759963989,[-1.7309738]
4.17332124710083,0.7227433654997084,311903.9669036865,[-1.7396642]
4.046663999557495,0.6124064127604166,312996.6239929199,[-1.5002776]
4.1220338344573975,0.7608189980189005,307593.3084487915,[-1.7805973]
3.957913875579834,0.7119691504372491,308413.1851196289,[-1.6899868]
3.9700770378112793,0.7352204852634006,305790.322303772,[-1.7380885]
4.036811113357544,0.660742998123169,308198.2536315918,[-1.5868711]
3.998401165008545,0.6629718674553765,314132.74669647217,[-1.6238912]
4.0671470165252686,0.6075025664435493,307132.399559021,[-1.5036477]
4.032076835632324,0.777255654335022,307150.94470977783,[-1.8057165]
4.037316083908081,0.6659460862477621,303910.44998168945,[-1.587226]
4.080689191818237,0.6904064019521078,304776.47590637207,[-1.6159964]
4.048758029937744,0.9228116803699069,298287.917137146,[-2.0688171]
4.061722040176392,0.8150219652387831,301202.32248306274,[-1.8786129]
4.089576959609985,0.5965969694985284,307887.9699707031,[-1.4558215]
4.393393278121948,0.9244404633839926,302974.2240905762,[-2.056755]
4.119402170181274,0.8455286555820041,302918.6716079712,[-1.9354668]
4.0404510498046875,0.8857996728685167,299894.642829895,[-1.9968077]
4.012098073959351,0.8383017778396606,306067.73567199707,[-1.8972502]
5.018189907073975,0.9062016010284424,303413.20991516113,[-2.0359251]
4.252286911010742,0.686668594678243,309500.3652572632,[-1.6216102]
3.892789125442505,0.6823760403527154,307502.71797180176,[-1.638019]
3.884512186050415,0.710935009850396,312178.9722442627,[-1.7162447]
3.8428821563720703,0.7380214929580688,308669.32106018066,[-1.7423931]
3.943474292755127,0.8204304244783189,304633.7766647339,[-1.8851752]
4.182682037353516,0.9361261394288805,300203.5264968872,[-2.119065]
4.028120994567871,0.7785964806874593,307012.44258880615,[-1.7880764]
4.017775774002075,0.9170618587070041,298451.31492614746,[-2.0587924]
3.9869229793548584,1.0016855266359117,302158.33377838135,[-2.221737]
3.988679885864258,1.0350573857625325,299591.4535522461,[-2.299822]
3.9684929847717285,0.7845613294177585,307574.3856430054,[-1.8352009]
3.940603017807007,0.781842377450731,308296.74243927,[-1.829743]
4.010843992233276,0.7743157810635037,304708.81843566895,[-1.8120168]
3.9362170696258545,0.885800215933058,300238.2526397705,[-1.9841231]
3.9482171535491943,0.5967579020394219,310399.64389801025,[-1.4384831]
4.008883953094482,0.8376575178570218,303464.7378921509,[-1.9268521]
4.017287731170654,0.6163609292772081,309406.5990447998,[-1.5116692]
4.017007827758789,0.6855502393510606,304009.2144012451,[-1.6388155]
4.055999994277954,0.629167742199368,310734.6601486206,[-1.5043615]
3.98796010017395,0.7329982651604546,303281.5418243408,[-1.7170728]
3.948969841003418,0.5534326765272353,308579.52404022217,[-1.3796787]
3.9909398555755615,0.5221820142534044,314380.9289932251,[-1.3182472]
4.468272924423218,0.8601198858684964,300876.4343261719,[-1.9653587]
4.271342992782593,0.9404502842161391,300748.9261627197,[-2.1048632]
4.072784185409546,0.5430646075142754,312011.6834640503,[-1.36998]
3.974199056625366,0.943482518196106,298151.2813568115,[-2.1320207]
4.190792083740234,0.943131513065762,297955.9803009033,[-2.114933]
4.115558862686157,1.0192875464757283,302753.5238265991,[-2.2544801]
4.284462213516235,1.118657045894199,298430.2644729614,[-2.4568768]
4.11637282371521,1.0309196445677016,297813.9982223511,[-2.2735193]
4.462099313735962,1.2770524819691975,292637.46547698975,[-2.7489195]
4.068488836288452,1.1675685511695013,295231.4977645874,[-2.5843585]
4.013977766036987,0.8919067515267266,297142.954826355,[-2.080138]
4.180570840835571,0.6451769140031602,307208.4197998047,[-1.5895877]
4.018144130706787,0.8812765677769979,303191.9050216675,[-2.063251]
4.1177978515625,0.8816163274976943,300934.60178375244,[-2.063851]
4.261016130447388,0.7181981139712863,307199.9931335449,[-1.7509903]
4.317454099655151,0.6406829092237685,309723.01959991455,[-1.5749472]
4.155036926269531,0.8332697682910495,304500.92220306396,[-1.9567256]
4.235043048858643,0.8355555534362793,302434.1039657593,[-1.9190006]
4.071928024291992,0.9936325152715048,298345.99018096924,[-2.2060163]
4.45896315574646,1.0308237473169963,299258.92448425293,[-2.2726462]
4.178377151489258,1.0057303508122761,299939.71824645996,[-2.2196553]
3.970425844192505,0.6958422263463339,310177.08587646484,[-1.6684918]
3.9607348442077637,0.5776702033148872,307022.8633880615,[-1.4445766]
4.009345054626465,0.5827517244550917,312377.49004364014,[-1.4667574]
4.017773866653442,0.6945009628931681,320487.73765563965,[-1.6816748]
4.283190011978149,0.8154224819607205,302340.4178619385,[-1.9152273]
4.2304418087005615,1.0971716509924994,295140.44666290283,[-2.4265492]
4.219534873962402,1.503503958384196,286865.5080795288,[-3.1752856]
4.113425016403198,1.177591602007548,292928.973197937,[-2.5566394]
4.083334922790527,1.2309990326563518,291162.1537208557,[-2.676883]
4.11993408203125,1.1714732117123074,290745.55110931396,[-2.5647402]
4.067348003387451,1.0670869880252414,293183.9027404785,[-2.370538]
4.126535177230835,0.9608138004938761,298563.90285491943,[-2.1579843]
4.153247117996216,0.8853868908352323,297258.06617736816,[-2.0134962]
4.182456970214844,0.8257433308495415,299179.2106628418,[-1.9028125]
4.0271100997924805,0.9173711538314819,298809.4673156738,[-2.1133814]
3.97402286529541,0.9513045284483168,299219.2029953003,[-2.1520274]
3.935072898864746,0.8902820216284858,298543.5724258423,[-2.0436685]
4.279600143432617,1.0942638052834406,293379.4345855713,[-2.42657]
4.137387990951538,0.997142924202813,297004.46796417236,[-2.246023]
4.178483963012695,0.7854765521155463,302357.87296295166,[-1.8508397]
4.107291221618652,0.8642738527721829,299813.0683898926,[-1.9693437]
4.055487871170044,0.965244836277432,298428.1253814697,[-2.2080593]
3.909090042114258,0.9865770472420586,296860.6548309326,[-2.2085056]
3.8584728240966797,0.739369167221917,304665.1020050049,[-1.7389264]
3.9572269916534424,0.9971289369795058,299602.0278930664,[-2.2206304]
3.9184250831604004,0.7604044410917494,308616.5704727173,[-1.7909079]
3.93733286857605,1.0407761997646756,294751.70612335205,[-2.3239467]
3.8798298835754395,0.6319080061382718,304842.77057647705,[-1.5148621]
4.099134922027588,1.0113974147372775,297652.7462005615,[-2.2456582]
3.8766112327575684,0.9504972431394789,299659.2483520508,[-2.159223]
4.070053815841675,0.8116688993242052,302533.1678390503,[-1.8996382]
3.9698269367218018,0.7850858105553521,301301.926612854,[-1.8380104]
4.111666917800903,0.8681193590164185,307151.4892578125,[-1.979699]
4.041253089904785,1.1507892211278279,294928.16734313965,[-2.55391]
4.160508155822754,0.8964098427030776,301975.08335113525,[-2.0396683]
4.4839560985565186,1.1803371906280518,296458.31966400146,[-2.591378]
4.3183510303497314,1.0895238584942288,299533.20121765137,[-2.413266]
4.292293310165405,0.6640472544564141,305615.61012268066,[-1.5953594]
4.2738800048828125,0.7772339979807535,302786.5743637085,[-1.8532566]
4.359616041183472,0.7443831231858995,306032.92655944824,[-1.7969352]
